"Name","Length","EffectiveLength","TPM","NumReads","MGI_symbol_manual","Gene_name_manual","MGI_symbol_bm","Gene_name_bm"
"ENSMUSG00000015441",919,804.72,5312.543,97993.2,"Gzmf","Gzmf","Gzmf","Gzmf"
"ENSMUSG00000102070",681,172.13,5281.973,20840.37,"Gm28661","Gm28661","Gm28661","Gm28661"
"ENSMUSG00000055360",843,294.48,5070.969,34228.92,"Prl2c5","Prl2c5","Prl2c5","Prl2c5"
"ENSMUSG00000059256",964,880.59,4979.273,100504.98,"Gzmd","Gzmd","Gzmd","Gzmd"
"ENSMUSG00000018339",1594,1627.94,4806.154,179343,"Gpx3","Gpx3","Gpx3","Gpx3"
"ENSMUSG00000008668",556,501.02,4737.38,54405.78,"Rps18","Rps18","Rps18","Rps18"
"ENSMUSG00000067038",494,382.67,4693.076,41165.04,"Rps12-ps3","Rps12-ps3","Rps12-ps3","Rps12-ps3"
"ENSMUSG00000060126",910,424.46,4597.286,44728.42,"Tpt1","Tpt1","Tpt1","Tpt1"
"ENSMUSG00000038891",877,610.58,4506.358,63069,"Prl3b1","Prl3b1","Prl3b1","Prl3b1"
"ENSMUSG00000040284",909,852.39,4450.837,86962.05,"Gzmg","Gzmg","Gzmg","Gzmg"
"ENSMUSG00000057841",521,416.91,4225.733,40382.63,"Rpl32","Rpl32","Rpl32","Rpl32"
"ENSMUSG00000069682",635,537.88,4169.463,51406.04,"Gm10275","Gm10275","Gm10275","Gm10275"
"ENSMUSG00000027082",1549,805.54,4018.916,74207,"Tfpi","Tfpi","Tfpi","Tfpi"
"ENSMUSG00000009927",561,375.24,4011.997,34508.04,"Rps25","Rps25","Rps25","Rps25"
"ENSMUSG00000064351",1545,526.13,4010.878,48370.36,"mt-Co1","mt-Co1","mt-Co1","mt-Co1"
"ENSMUSG00000000031",2180,2395.07,3964.316,217638,"H19","H19","H19","H19"
"ENSMUSG00000069917",554,480.99,3937.81,43415,"Hba-a2","Hba-a2","Hba-a2","Hba-a2"
"ENSMUSG00000024608",599,532.59,3765.988,45975.16,"Rps14","Rps14","Rps14","Rps14"
"ENSMUSG00000063457",504,424.78,3751.559,36528.11,"Rps15","Rps15","Rps15","Rps15"
"ENSMUSG00000060938",527,432.81,3662.514,36334.86,"Rpl26","Rpl26","Rpl26","Rpl26"
"ENSMUSG00000040952",550,481.43,3660.994,40400.08,"Rps19","Rps19","Rps19","Rps19"
"ENSMUSG00000007892",499,407.24,3452.93,32231.89,"Rplp1","Rplp1","Rplp1","Rplp1"
"ENSMUSG00000039001",396,265.3,3378.312,20543.96,"Rps21","Rps21","Rps21","Rps21"
"ENSMUSG00000017404",727,693.31,3312.384,52640.25,"Rpl19","Rpl19","Rpl19","Rpl19"
"ENSMUSG00000067274",1226,1166.73,3291.238,88019.38,"Rplp0","Rplp0","Rplp0","Rplp0"
"ENSMUSG00000057036",444,316.9,3245.045,23571.41,"Gm7536","Gm7536","Gm7536","Gm7536"
"ENSMUSG00000084319",519,241.6,3224.281,17855.37,"Tpt1-ps3","Tpt1-ps3","Tpt1-ps3","Tpt1-ps3"
"ENSMUSG00000005891",876,550.22,3169.675,39976,"Prl4a1","Prl4a1","Prl4a1","Prl4a1"
"ENSMUSG00000057863",383,267.93,3151.051,19352.16,"Rpl36","Rpl36","Rpl36","Rpl36"
"ENSMUSG00000062006",488,388.94,3131.87,27921.06,"Rpl34","Rpl34","Rpl34","Rpl34"
"ENSMUSG00000020077",957,452.51,3079.35,31940,"Srgn","Srgn","Srgn","Srgn"
"ENSMUSG00000062328",775,560.8,3033.723,38997.19,"Rpl17","Rpl17","Rpl17","Rpl17"
"ENSMUSG00000046330",558,331.55,3008.347,22862.76,"Rpl37a","Rpl37a","Rpl37a","Rpl37a"
"ENSMUSG00000071866",575,380.93,2980.818,26027.43,"Ppia","Ppia","Ppia","Ppia"
"ENSMUSG00000006333",729,705.9,2902.778,46968.15,"Rps9","Rps9","Rps9","Rps9"
"ENSMUSG00000052146",550,453,2781.758,28884.52,"Rps10","Rps10","Rps10","Rps10"
"ENSMUSG00000061787",488,384.49,2744.557,24188.59,"Rps17","Rps17","Rps17","Rps17"
"ENSMUSG00000060636",494,307.38,2740.848,19310.98,"Rpl35a","Rpl35a","Rpl35a","Rpl35a"
"ENSMUSG00000024661",927,773.06,2653.507,47019.98,"Fth1","Fth1","Fth1","Fth1"
"ENSMUSG00000062997",495,392.02,2647.068,23786.24,"Rpl35","Rpl35","Rpl35","Rpl35"
"ENSMUSG00000069258",870,294.77,2611.988,17648,"Prl2b1","Prl2b1","Prl2b1","Prl2b1"
"ENSMUSG00000047215",741,605.58,2559.793,35532.41,"Rpl9","Rpl9","Rpl9","Rpl9"
"ENSMUSG00000064354",684,172.79,2548.615,10094.42,"mt-Co2","mt-Co2","mt-Co2","mt-Co2"
"ENSMUSG00000055298",1370,834.22,2540.754,48584,"Ctsj","Ctsj","Ctsj","Ctsj"
"ENSMUSG00000003429",657,576.19,2468.035,32596.08,"Rps11","Rps11","Rps11","Rps11"
"ENSMUSG00000062825",1863,1801.22,2435.513,100555.57,"Actg1","Actg1","Actg1","Actg1"
"ENSMUSG00000100755",425,285.04,2433.005,15896.38,"Rps23-ps1","Rps23-ps1","Rps23-ps1","Rps23-ps1"
"ENSMUSG00000068240",504,426.91,2374.848,23239.27,"Gm11808","Gm11808","Gm11808","Gm11808"
"ENSMUSG00000038274",549,470.02,2370.343,25537.57,"Fau","Fau","Fau","Fau"
"ENSMUSG00000058443",768,618.28,2337.453,33126.57,"Rpl10-ps3","Rpl10-ps3","Rpl10-ps3","Rpl10-ps3"
"ENSMUSG00000114432",1111,602.94,2253.45,31143.82,"Gm49391","Gm49391","Gm49391","Gm49391"
"ENSMUSG00000020372",1400,1316.06,2237.993,67512,"Rack1","Rack1","Rack1","Rack1"
"ENSMUSG00000050621",374,227.82,2231.098,11650.64,"Rps27rt","Rps27rt","Rps27rt","Rps27rt"
"ENSMUSG00000023043",1437,1567.67,2169.552,77960,"Krt18","Krt18","Krt18","Krt18"
"ENSMUSG00000072940",210,87.88,2156.674,4344.44,"Gm10443","Gm10443","Gm10443","Gm10443"
"ENSMUSG00000086583",1019,716.78,2149.741,35320.03,"Gm15500","Gm15500","Gm15500","Gm15500"
"ENSMUSG00000034892",390,272.21,2128.657,13281.87,"Rps29","Rps29","Rps29","Rps29"
"ENSMUSG00000090841",691,655.38,2101.345,31567.26,"Myl6","Myl6","Myl6","Myl6"
"ENSMUSG00000030744",1490,1247.75,2097.569,59992,"Rps3","Rps3","Rps3","Rps3"
"ENSMUSG00000020460",808,507.05,2093.321,24329.7,"Rps27a","Rps27a","Rps27a","Rps27a"
"ENSMUSG00000079186",894,782,2084.393,37362.29,"Gzmc","Gzmc","Gzmc","Gzmc"
"ENSMUSG00000022886",884,497.26,2065.345,23541,"Prl2a1","Prl2a1","Prl2a1","Prl2a1"
"ENSMUSG00000032518",1115,1128.19,2042.4,52816.57,"Rpsa","Rpsa","Rpsa","Rpsa"
"ENSMUSG00000025508",621,471.62,2021.651,21854.75,"Rplp2","Rplp2","Rplp2","Rplp2"
"ENSMUSG00000062515",920,425.94,1999.334,19520,"Fabp4","Fabp4","Fabp4","Fabp4"
"ENSMUSG00000028081",977,725.87,1998.308,33248.3,"Rps3a1","Rps3a1","Rps3a1","Rps3a1"
"ENSMUSG00000012848",778,740.24,1976.291,33533,"Rps5","Rps5","Rps5","Rps5"
"ENSMUSG00000067870",378,250.45,1974.925,11337.5,"Rpl31-ps8","Rpl31-ps8","Rpl31-ps8","Rpl31-ps8"
"ENSMUSG00000057322",369,245.85,1965.521,11076.36,"Rpl38","Rpl38","Rpl38","Rpl38"
"ENSMUSG00000062933",490,336.98,1952.327,15080.05,"Gm10123","Gm10123","Gm10123","Gm10123"
"ENSMUSG00000069919",683,640.58,1938.879,28469,"Hba-a1","Hba-a1","Hba-a1","Hba-a1"
"ENSMUSG00000061477",924,691.5,1930.37,30597.24,"Rps7","Rps7","Rps7","Rps7"
"ENSMUSG00000045128",529,454.27,1917.659,19967.78,"Rpl18a","Rpl18a","Rpl18a","Rpl18a"
"ENSMUSG00000038580",517,425.36,1897.864,18504,"Sct","Sct","Sct","Sct"
"ENSMUSG00000022156",916,844.4,1892.234,36624.49,"Gzme","Gzme","Gzme","Gzme"
"ENSMUSG00000090733",346,214.55,1877.573,9233.77,"Rps27","Rps27","Rps27","Rps27"
"ENSMUSG00000078193",445,343.63,1847.959,14555.67,"Gm2000","Gm2000","Gm2000","Gm2000"
"ENSMUSG00000060419",441,324.22,1839.006,13666.9,"Rps16-ps2","Rps16-ps2","Rps16-ps2","Rps16-ps2"
"ENSMUSG00000031765",568,489.78,1835.185,20603,"Mt1","Mt1","Mt1","Mt1"
"ENSMUSG00000031762",511,417.92,1801.448,17257,"Mt2","Mt2","Mt2","Mt2"
"ENSMUSG00000058546",560,403.17,1792.252,16562.7,"Rpl23a","Rpl23a","Rpl23a","Rpl23a"
"ENSMUSG00000025130",2077,2057.7,1740.955,82114,"P4hb","P4hb","P4hb","P4hb"
"ENSMUSG00000008683",744,501.79,1717.767,19757.42,"Rps15a","Rps15a","Rps15a","Rps15a"
"ENSMUSG00000000740",781,700.4,1712.032,27485.6,"Rpl13","Rpl13","Rpl13","Rpl13"
"ENSMUSG00000037563",689,565.4,1685.495,21843.91,"Rps16","Rps16","Rps16","Rps16"
"ENSMUSG00000081406",750,627.1,1670.978,24019.21,"Rps6-ps4","Rps6-ps4","Rps6-ps4","Rps6-ps4"
"ENSMUSG00000106037",346,181.65,1642.687,6839.87,"Gm4332","Gm4332","Gm4332","Gm4332"
"ENSMUSG00000007209",1371,1317.36,1629.84,49215,"Ceacam9","Ceacam9","Ceacam9","Ceacam9"
"ENSMUSG00000003970",854,855.32,1625.905,31876.56,"Rpl8","Rpl8","Rpl8","Rpl8"
"ENSMUSG00000015656",1685,1526.72,1602.091,56065.51,"Hspa8","Hspa8","Hspa8","Hspa8"
"ENSMUSG00000027907",511,355.81,1601.876,13064.39,"S100a11","S100a11","S100a11","S100a11"
"ENSMUSG00000061983",592,478.85,1596.734,17525.79,"Rps12","Rps12","Rps12","Rps12"
"ENSMUSG00000028367",1051,627.45,1577.489,22688,"Txn1","Txn1","Txn1","Txn1"
"ENSMUSG00000067288",381,263.96,1573.451,9520.18,"Rps28","Rps28","Rps28","Rps28"
"ENSMUSG00000059291",755,648.17,1569.122,23312.58,"Rpl11","Rpl11","Rpl11","Rpl11"
"ENSMUSG00000029614",1070,973.82,1558.589,34790.31,"Rpl6","Rpl6","Rpl6","Rpl6"
"ENSMUSG00000059070",648,592.82,1553.958,21115.86,"Rpl18","Rpl18","Rpl18","Rpl18"
"ENSMUSG00000019505",1496,1607.6,1537.973,56672.96,"Ubb","Ubb","Ubb","Ubb"
"ENSMUSG00000064370",1144,361.63,1535.985,12732,"mt-Cytb","mt-Cytb","mt-Cytb","mt-Cytb"
"ENSMUSG00000064341",957,184.44,1516.164,6410,"mt-Nd1","mt-Nd1","mt-Nd1","mt-Nd1"
"ENSMUSG00000049382",1958,2172.76,1503.027,74856.09,"Krt8","Krt8","Krt8","Krt8"
"ENSMUSG00000032060",834,791.27,1501.097,27226,"Cryab","Cryab","Cryab","Cryab"
"ENSMUSG00000029580",1856,1623.84,1500.489,55850.1,"Actb","Actb","Actb","Actb"
"ENSMUSG00000098274",659,553.44,1497.267,18994,"Rpl24","Rpl24","Rpl24","Rpl24"
"ENSMUSG00000050335",1208,1132.11,1496.537,38835,"Lgals3","Lgals3","Lgals3","Lgals3"
"ENSMUSG00000043716",1070,828.71,1495.865,28414.68,"Rpl7","Rpl7","Rpl7","Rpl7"
"ENSMUSG00000027611",1571,1521.83,1493.165,52086,"Procr","Procr","Procr","Procr"
"ENSMUSG00000005054",603,456.53,1473.448,15419,"Cstb","Cstb","Cstb","Cstb"
"ENSMUSG00000073940",703,634.07,1465.064,21293.23,"Hbb-bt","Hbb-bt","Hbb-bt","Hbb-bt"
"ENSMUSG00000025967",863,617.77,1465.053,20745.8,"Eef1b2","Eef1b2","Eef1b2","Eef1b2"
"ENSMUSG00000101111",783,174.79,1451.201,5814.25,"Gm28437","Gm28437","Gm28437","Gm28437"
"ENSMUSG00000084416",654,564.82,1406.799,18213.21,"Rpl10a-ps1","Rpl10a-ps1","Rpl10a-ps1","Rpl10a-ps1"
"ENSMUSG00000044533",988,968.53,1370.222,30419.49,"Rps2","Rps2","Rps2","Rps2"
"ENSMUSG00000062456",714,561.8,1366.253,17593.74,"Rpl9-ps6","Rpl9-ps6","Rpl9-ps6","Rpl9-ps6"
"ENSMUSG00000107176",423,207.77,1365.628,6503.87,"Gm9794","Gm9794","Gm9794","Gm9794"
"ENSMUSG00000037805",640,556.38,1358.316,17322.9,"Rpl10a","Rpl10a","Rpl10a","Rpl10a"
"ENSMUSG00000066362",538,390.91,1351.241,12107.51,"Rps13-ps1","Rps13-ps1","Rps13-ps1","Rps13-ps1"
"ENSMUSG00000090136",444,195.2,1351.026,6044.92,"Gm10177","Gm10177","Gm10177","Gm10177"
"ENSMUSG00000056054",486,179.42,1349.492,5550,"S100a8","S100a8","S100a8","S100a8"
"ENSMUSG00000072674",449,356.75,1337.381,10936.07,"","",NA,NA
"ENSMUSG00000025362",678,535.91,1322.935,16250.83,"Rps26","Rps26","Rps26","Rps26"
"ENSMUSG00000027199",2329,1430.61,1318.461,43235,"Gatm","Gatm","Gatm","Gatm"
"ENSMUSG00000075706",651,584.56,1304.576,17480.17,"Gpx4","Gpx4","Gpx4","Gpx4"
"ENSMUSG00000063882",549,446.38,1287.366,13172,"Uqcrh","Uqcrh","Uqcrh","Uqcrh"
"ENSMUSG00000064358",784,175,1285.838,5157.75,"mt-Co3","mt-Co3","mt-Co3","mt-Co3"
"ENSMUSG00000028936",492,316.67,1274.207,9249.12,"Rpl22","Rpl22","Rpl22","Rpl22"
"ENSMUSG00000021348",1298,423.39,1272.156,12346,"Prl7d1","Prl7d1","Prl7d1","Prl7d1"
"ENSMUSG00000058603",414,317.74,1253.809,9131.7,"Rpl28-ps1","Rpl28-ps1","Rpl28-ps1","Rpl28-ps1"
"ENSMUSG00000068220",779,786.85,1225.434,22102,"Lgals1","Lgals1","Lgals1","Lgals1"
"ENSMUSG00000032383",911,813.8,1202.007,22422,"Ppib","Ppib","Ppib","Ppib"
"ENSMUSG00000032399",1506,1328.67,1178.062,35878.53,"Rpl4","Rpl4","Rpl4","Rpl4"
"ENSMUSG00000064363",1378,214.57,1173.749,5772.92,"mt-Nd4","mt-Nd4","mt-Nd4","mt-Nd4"
"ENSMUSG00000029304",1415,980.93,1158.056,26038.58,"Spp1","Spp1","Spp1","Spp1"
"ENSMUSG00000012405",1125,723.25,1147.666,19026.13,"Rpl15","Rpl15","Rpl15","Rpl15"
"ENSMUSG00000090137",541,468.5,1146.384,12310.95,"Uba52","Uba52","Uba52","Uba52"
"ENSMUSG00000058600",482,292.44,1141.926,7654.49,"Rpl30","Rpl30","Rpl30","Rpl30"
"ENSMUSG00000041959",685,569.67,1127.668,14725,"S100a10","S100a10","S100a10","S100a10"
"ENSMUSG00000072692",307,190.7,1121.834,4903.67,"Rpl37rt","Rpl37rt","Rpl37rt","Rpl37rt"
"ENSMUSG00000095597",583,433.18,1116.387,11084.96,"Rps7-ps3","Rps7-ps3","Rps7-ps3","Rps7-ps3"
"ENSMUSG00000050299",402,296.16,1107.242,7516.43,"Gm9843","Gm9843","Gm9843","Gm9843"
"ENSMUSG00000004207",2623,2945.44,1100.251,74283,"Psap","Psap","Psap","Psap"
"ENSMUSG00000063229",1552,1561.05,1069.968,38285.54,"Ldha","Ldha","Ldha","Ldha"
"ENSMUSG00000033834",1598,506.95,1067.375,12403,"Tpbpa","Tpbpa","Tpbpa","Tpbpa"
"ENSMUSG00000049751",531,402.34,1067.051,9840.64,"Rpl36al","Rpl36al","Rpl36al","Rpl36al"
"ENSMUSG00000081604",411,290.87,1059.636,7064.8,"Gm11518","Gm11518","Gm11518","Gm11518"
"ENSMUSG00000031818",734,705.62,1054.216,17051,"Cox4i1","Cox4i1","Cox4i1","Cox4i1"
"ENSMUSG00000006490",942,375.47,1054.098,9072,"Prl8a9","Prl8a9","Prl8a9","Prl8a9"
"ENSMUSG00000079641",606,380.15,1044.895,9104.94,"Rpl39","Rpl39","Rpl39","Rpl39"
"ENSMUSG00000006589",802,785.32,1028.497,18514,"Aprt","Aprt","Aprt","Aprt"
"ENSMUSG00000081344",171,51.27,1013.471,1191.13,"Gm14303","Gm14303","Gm14303","Gm14303"
"ENSMUSG00000028495",878,759.86,1011.831,17623.48,"Rps6","Rps6","Rps6","Rps6"
"ENSMUSG00000049517",936,585.08,1009.894,13543.7,"Rps23","Rps23","Rps23","Rps23"
"ENSMUSG00000006205",1502,1510.42,1005.042,34796,"Htra1","Htra1","Htra1","Htra1"
"ENSMUSG00000068048",895,903.51,999.537,20700.55,"Rhox9","Rhox9","Rhox9","Rhox9"
"ENSMUSG00000018593",2172,2166.19,998.006,49554,"Sparc","Sparc","Sparc","Sparc"
"ENSMUSG00000031320",967,748.13,997.327,17102.66,"Rps4x","Rps4x","Rps4x","Rps4x"
"ENSMUSG00000008682",738,605.87,987.884,13719.28,"Rpl10","Rpl10","Rpl10","Rpl10"
"ENSMUSG00000001020",488,379.27,980.971,8528,"S100a4","S100a4","S100a4","S100a4"
"ENSMUSG00000021477",1930,1343.9,964.891,29723,"Ctsl","Ctsl","Ctsl","Ctsl"
"ENSMUSG00000063856",779,755.24,958.735,16597,"Gpx1","Gpx1","Gpx1","Gpx1"
"ENSMUSG00000060036",1359,1352.9,957.697,29699.08,"Rpl3","Rpl3","Rpl3","Rpl3"
"ENSMUSG00000022205",704,220.66,956.707,4839,"Sub1","Sub1","Sub1","Sub1"
"ENSMUSG00000016252",429,308.21,955.03,6747,"Atp5e","Atp5e","Atp5e","Atp5e"
"ENSMUSG00000020857",870,797.23,954.753,17447.18,"Nme2","Nme2","Nme2","Nme2"
"ENSMUSG00000079018",761,643.43,941.929,13892.08,"Ly6c1","Ly6c1","Ly6c1","Ly6c1"
"ENSMUSG00000028965",1948,1662.9,938.359,35767,"Tnfrsf9","Tnfrsf9","Tnfrsf9","Tnfrsf9"
"ENSMUSG00000070343",537,432.51,934.368,9263.17,"Gm10288","Gm10288","Gm10288","Gm10288"
"ENSMUSG00000041841",696,509.42,931.709,10879.33,"Rpl37","Rpl37","Rpl37","Rpl37"
"ENSMUSG00000087412",645,540.86,929.167,11519.37,"Gm15501","Gm15501","Gm15501","Gm15501"
"ENSMUSG00000030695",1446,1592.88,923.433,33715.99,"Aldoa","Aldoa","Aldoa","Aldoa"
"ENSMUSG00000020911",1293,1390.64,921.293,29367,"Krt19","Krt19","Krt19","Krt19"
"ENSMUSG00000062647",912,920.27,919.804,19402.47,"Rpl7a","Rpl7a","Rpl7a","Rpl7a"
"ENSMUSG00000082035",621,456.81,919.016,9622.83,"Rpl17-ps8","Rpl17-ps8","Rpl17-ps8","Rpl17-ps8"
"ENSMUSG00000073640",411,290.87,908.89,6059.75,"Rpl27-ps3","Rpl27-ps3","Rpl27-ps3","Rpl27-ps3"
"ENSMUSG00000024646",816,596.74,908.594,12428,"Cyb5a","Cyb5a","Cyb5a","Cyb5a"
"ENSMUSG00000009281",764,741.6,901.773,15329,"Rarres2","Rarres2","Rarres2","Rarres2"
"ENSMUSG00000025351",1090,937.19,901.738,19371.2,"Cd63","Cd63","Cd63","Cd63"
"ENSMUSG00000030111",4568,4339.7,899.173,89444,"A2m","A2m","A2m","A2m"
"ENSMUSG00000060143",383,282.07,897.492,5802.81,"Gm10076","Gm10076","Gm10076","Gm10076"
"ENSMUSG00000036751",515,399.02,892.272,8161,"Cox6b1","Cox6b1","Cox6b1","Cox6b1"
"ENSMUSG00000066315",636,545.27,888.999,11111.2,"Gm12918","Gm12918","Gm12918","Gm12918"
"ENSMUSG00000003814",1979,1845.09,875.894,37044,"Calr","Calr","Calr","Calr"
"ENSMUSG00000026238",1210,774.65,874.606,15529.78,"Ptma","Ptma","Ptma","Ptma"
"ENSMUSG00000029622",1059,1080.81,871.983,21602.55,"Arpc1b","Arpc1b","Arpc1b","Arpc1b"
"ENSMUSG00000044080",638,552.63,869.717,11017,"S100a1","S100a1","S100a1","S100a1"
"ENSMUSG00000021508",1826,1818.36,863.483,35990,"Cxcl14","Cxcl14","Cxcl14","Cxcl14"
"ENSMUSG00000071415",1034,670.86,851.392,13092.13,"Rpl23","Rpl23","Rpl23","Rpl23"
"ENSMUSG00000063316",621,523.59,849.375,10193.9,"Rpl27","Rpl27","Rpl27","Rpl27"
"ENSMUSG00000029430",1139,673.08,847.209,13070.96,"Ran","Ran","Ran","Ran"
"ENSMUSG00000105388",321,165.89,841.998,3201.72,"Rpl36a-ps2","Rpl36a-ps2","Rpl36a-ps2","Rpl36a-ps2"
"ENSMUSG00000021660",883,538.94,835.717,10324.07,"Btf3","Btf3","Btf3","Btf3"
"ENSMUSG00000001289",568,488.89,831.109,9313.59,"Pfdn5","Pfdn5","Pfdn5","Pfdn5"
"ENSMUSG00000064373",2046,1208.39,829.074,22964,"Selenop","Selenop","Selenop","Selenop"
"ENSMUSG00000048758",728,693.13,828.996,13170.92,"Rpl29","Rpl29","Rpl29","Rpl29"
"ENSMUSG00000090862",600,453.53,828.58,8613.67,"Rps13","Rps13","Rps13","Rps13"
"ENSMUSG00000003161",962,574.8,816.526,10758,"Sri","Sri","Sri","Sri"
"ENSMUSG00000046364",1052,778.5,814.573,14535.71,"Rpl27a","Rpl27a","Rpl27a","Rpl27a"
"ENSMUSG00000081094",591,534.97,808.122,9909.6,"Rpl19-ps11","Rpl19-ps11","Rpl19-ps11","Rpl19-ps11"
"ENSMUSG00000061167",615,500.54,797.43,9149.03,"Rpl15-ps3","Rpl15-ps3","Rpl15-ps3","Rpl15-ps3"
"ENSMUSG00000025283",1006,608.98,795.905,11109.99,"Sat1","Sat1","Sat1","Sat1"
"ENSMUSG00000025794",957,797.9,794.106,14523.59,"Rpl14","Rpl14","Rpl14","Rpl14"
"ENSMUSG00000023944",2263,2361.69,789.909,42761,"Hsp90ab1","Hsp90ab1","Hsp90ab1","Hsp90ab1"
"ENSMUSG00000060962",681,601.39,788.404,10868,"Dmkn","Dmkn","Dmkn","Dmkn"
"ENSMUSG00000006200",1010,1070.43,782.292,19194.45,"Rhox6","Rhox6","Rhox6","Rhox6"
"ENSMUSG00000030432",601,514.94,778.858,9193.19,"Rpl28","Rpl28","Rpl28","Rpl28"
"ENSMUSG00000018293",877,804.59,777.656,14342,"Pfn1","Pfn1","Pfn1","Pfn1"
"ENSMUSG00000025393",1297,1166.54,770.253,20596,"Atp5b","Atp5b","Atp5b","Atp5b"
"ENSMUSG00000032231",1444,1544.43,767.689,27177,"Anxa2","Anxa2","Anxa2","Anxa2"
"ENSMUSG00000028234",2442,1078.96,760.206,18801.13,"Rps20","Rps20","Rps20","Rps20"
"ENSMUSG00000061315",887,607.37,757.724,10548.99,"Naca","Naca","Naca","Naca"
"ENSMUSG00000100862",678,158,750.491,2718.01,"Gm10925","Gm10925","Gm10925","Gm10925"
"ENSMUSG00000064357",681,158,749.935,2715.99,"mt-Atp6","mt-Atp6","mt-Atp6","mt-Atp6"
"ENSMUSG00000058838",467,261.04,740.07,4428.2,"Rps27a-ps2","Rps27a-ps2","Rps27a-ps2","Rps27a-ps2"
"ENSMUSG00000073888",435,321.14,732.545,5392.37,"Ccl27a","Ccl27a","Ccl27a","Ccl27a"
"ENSMUSG00000018770",739,373,732.536,6263,"Atp5g3","Atp5g3","Atp5g3","Atp5g3"
"ENSMUSG00000079435",486,292.93,729.781,4900.12,"Rpl36a","Rpl36a","Rpl36a","Rpl36a"
"ENSMUSG00000020267",636,462.12,729.563,7728,"Hint1","Hint1","Hint1","Hint1"
"ENSMUSG00000075602",881,705.38,725.208,11725.55,"Ly6a","Ly6a","Ly6a","Ly6a"
"ENSMUSG00000017697",1683,1799.1,724.517,29878,"Ada","Ada","Ada","Ada"
"ENSMUSG00000024248",1076,911.57,718.865,15020.48,"Cox7a2l","Cox7a2l","Cox7a2l","Cox7a2l"
"ENSMUSG00000081485",192,65.98,708.76,1071.99,"Gm12338","Gm12338","Gm12338","Gm12338"
"ENSMUSG00000026864",2108,1496.42,698.471,23958,"Hspa5","Hspa5","Hspa5","Hspa5"
"ENSMUSG00000044408",1343,443.43,692.24,7036,"Sptssa","Sptssa","Sptssa","Sptssa"
"ENSMUSG00000023175",1249,1246.18,689.001,19681,"Bsg","Bsg","Bsg","Bsg"
"ENSMUSG00000074884",916,775.99,686.069,12203.15,"Serf2","Serf2","Serf2","Serf2"
"ENSMUSG00000038717",547,279.8,683.901,4386.28,"Atp5l","Atp5l","Atp5l","Atp5l"
"ENSMUSG00000073702",942,610.18,681.339,9529.43,"Rpl31","Rpl31","Rpl31","Rpl31"
"ENSMUSG00000004951",904,842.63,679.648,13127.09,"Hspb1","Hspb1","Hspb1","Hspb1"
"ENSMUSG00000053317",560,362.59,676.831,5625.25,"Sec61b","Sec61b","Sec61b","Sec61b"
"ENSMUSG00000037664",1402,1125.39,673.284,17368,"Cdkn1c","Cdkn1c","Cdkn1c","Cdkn1c"
"ENSMUSG00000044894",563,432.91,671.673,6665,"Uqcrq","Uqcrq","Uqcrq","Uqcrq"
"ENSMUSG00000064339",1582,281.62,669.524,4322,"mt-Rnr2","mt-Rnr2","mt-Rnr2","mt-Rnr2"
"ENSMUSG00000071528",366,157.94,669.013,2422,"Atp5md","Atp5md","Atp5md","Atp5md"
