"Name","Length","EffectiveLength","TPM","NumReads","MGI_symbol_manual","Gene_name_manual","MGI_symbol_bm","Gene_name_bm"
"ENSMUSG00000100862",678,368.18,2771.246,21984.35,"Gm10925","Gm10925","Gm10925","Gm10925"
"ENSMUSG00000057195",1000,879.88,2744.374,52029,"Ceacam13","Ceacam13","Ceacam13","Ceacam13"
"ENSMUSG00000060126",889,668.78,2652.178,38217.5,"Tpt1","Tpt1","Tpt1","Tpt1"
"ENSMUSG00000049775",767,607.51,2511.736,32878,"Tmsb4x","Tmsb4x","Tmsb4x","Tmsb4x"
"ENSMUSG00000074129",554,423.25,2361.066,21532.08,"Rpl13a","Rpl13a","Rpl13a","Rpl13a"
"ENSMUSG00000090733",345,213.41,2320.996,10672.68,"Rps27","Rps27","Rps27","Rps27"
"ENSMUSG00000025290",580,452.79,2302.817,22466.26,"Rps24","Rps24","Rps24","Rps24"
"ENSMUSG00000055360",827,616.26,2291.009,30420.52,"Prl2c5","Prl2c5","Prl2c5","Prl2c5"
"ENSMUSG00000068048",889,790.82,2284.364,38924.3,"Rhox9","Rhox9","Rhox9","Rhox9"
"ENSMUSG00000093674",481,347.47,2257.072,16897.93,"Rpl41","Rpl41","Rpl41","Rpl41"
"ENSMUSG00000038580",516,366.3,2199.425,17359,"Sct","Sct","Sct","Sct"
"ENSMUSG00000031622",1042,948.18,2150.021,43925,"Sin3b","Sin3b","Sin3b","Sin3b"
"ENSMUSG00000056457",847,622.45,2080.713,27905.77,"Prl2c3","Prl2c3","Prl2c3","Prl2c3"
"ENSMUSG00000074871",1577,1233.31,2023.371,53768.11,"Ctsm","Ctsm","Ctsm","Ctsm"
"ENSMUSG00000000031",2133,2104.3,2020.759,91622,"H19","H19","H19","H19"
"ENSMUSG00000024608",597,474.45,1930.934,19739.6,"Rps14","Rps14","Rps14","Rps14"
"ENSMUSG00000084319",519,358.31,1813.197,13998.47,"Tpt1-ps3","Tpt1-ps3","Tpt1-ps3","Tpt1-ps3"
"ENSMUSG00000003505",1422,1361.79,1773.735,52044.5,"Psg18","Psg18","Psg18","Psg18"
"ENSMUSG00000060419",441,311.3,1771.514,11882.38,"Rps16-ps2","Rps16-ps2","Rps16-ps2","Rps16-ps2"
"ENSMUSG00000026864",2173,2048.36,1764.176,77862,"Hspa5","Hspa5","Hspa5","Hspa5"
"ENSMUSG00000028773",823,718.6,1763.693,27307.83,"Fabp3","Fabp3","Fabp3","Fabp3"
"ENSMUSG00000009927",544,416.51,1756.951,15767.53,"Rps25","Rps25","Rps25","Rps25"
"ENSMUSG00000064356",204,71.59,1704.439,2629,"mt-Atp8","mt-Atp8","mt-Atp8","mt-Atp8"
"ENSMUSG00000027643",516,386.55,1703.145,14185,"Ghrh","Ghrh","Ghrh","Ghrh"
"ENSMUSG00000038274",538,396.34,1675.966,14312.18,"Fau","Fau","Fau","Fau"
"ENSMUSG00000003814",1836,1805.28,1663.116,64691,"Calr","Calr","Calr","Calr"
"ENSMUSG00000064341",957,612.89,1613.785,21311,"mt-Nd1","mt-Nd1","mt-Nd1","mt-Nd1"
"ENSMUSG00000040808",480,352.34,1585.949,12040,"S100g","S100g","S100g","S100g"
"ENSMUSG00000023175",1236,1142.19,1584.258,38989,"Bsg","Bsg","Bsg","Bsg"
"ENSMUSG00000086583",1009,918.11,1574.492,31146.85,"Gm15500","Gm15500","Gm15500","Gm15500"
"ENSMUSG00000025130",2449,2391.55,1568.363,80817,"P4hb","P4hb","P4hb","P4hb"
"ENSMUSG00000021348",1065,710.31,1551.347,23743,"Prl7d1","Prl7d1","Prl7d1","Prl7d1"
"ENSMUSG00000070799",2086,2013.04,1534.592,66561.25,"Psg26","Psg26","Psg26","Psg26"
"ENSMUSG00000060938",527,411.22,1533.117,13584.05,"Rpl26","Rpl26","Rpl26","Rpl26"
"ENSMUSG00000063457",504,368.01,1527.812,12114.62,"Rps15","Rps15","Rps15","Rps15"
"ENSMUSG00000057841",522,403.53,1512.76,13152.92,"Rpl32","Rpl32","Rpl32","Rpl32"
"ENSMUSG00000008668",557,436.11,1509.399,14183.29,"Rps18","Rps18","Rps18","Rps18"
"ENSMUSG00000068240",504,375.5,1471.746,11907.54,"Gm11808","Gm11808","Gm11808","Gm11808"
"ENSMUSG00000020372",1213,1135.08,1454.35,35569,"Rack1","Rack1","Rack1","Rack1"
"ENSMUSG00000054932",1992,1917.85,1452.047,60003,"Afp","Afp","Afp","Afp"
"ENSMUSG00000067038",494,367.19,1427.603,11294.6,"Rps12-ps3","Rps12-ps3","Rps12-ps3","Rps12-ps3"
"ENSMUSG00000025967",755,627.68,1421.893,19230.05,"Eef1b2","Eef1b2","Eef1b2","Eef1b2"
"ENSMUSG00000062006",490,360.79,1410.749,10966.91,"Rpl34","Rpl34","Rpl34","Rpl34"
"ENSMUSG00000040952",583,454.68,1405.334,13767.83,"Rps19","Rps19","Rps19","Rps19"
"ENSMUSG00000034892",390,249.03,1401.724,7521.11,"Rps29","Rps29","Rps29","Rps29"
"ENSMUSG00000064358",784,552.55,1393.957,16595.86,"mt-Co3","mt-Co3","mt-Co3","mt-Co3"
"ENSMUSG00000064360",348,149,1388.845,4458.79,"mt-Nd3","mt-Nd3","mt-Nd3","mt-Nd3"
"ENSMUSG00000017404",732,619.75,1378.107,18402.33,"Rpl19","Rpl19","Rpl19","Rpl19"
"ENSMUSG00000006200",1010,928.92,1372.308,27466.7,"Rhox6","Rhox6","Rhox6","Rhox6"
"ENSMUSG00000057036",444,313.8,1351.02,9134.66,"Gm7536","Gm7536","Gm7536","Gm7536"
"ENSMUSG00000064370",1144,901.8,1341.755,26071,"mt-Cytb","mt-Cytb","mt-Cytb","mt-Cytb"
"ENSMUSG00000007892",499,356.48,1310.27,10064.03,"Rplp1","Rplp1","Rplp1","Rplp1"
"ENSMUSG00000039001",396,255.47,1307.468,7196.91,"Rps21","Rps21","Rps21","Rps21"
"ENSMUSG00000067274",1184,1059.43,1294.576,29551.34,"Rplp0","Rplp0","Rplp0","Rplp0"
"ENSMUSG00000037563",625,501.82,1282.381,13865.62,"Rps16","Rps16","Rps16","Rps16"
"ENSMUSG00000067870",378,247.97,1279.447,6836.07,"Rpl31-ps8","Rpl31-ps8","Rpl31-ps8","Rpl31-ps8"
"ENSMUSG00000064357",681,369.46,1241.311,9881.65,"mt-Atp6","mt-Atp6","mt-Atp6","mt-Atp6"
"ENSMUSG00000008789",3273,3146.33,1230.974,83450.81,"Ceacam5","Ceacam5","Ceacam5","Ceacam5"
"ENSMUSG00000050708",964,842.8,1185.542,21528.73,"Ftl1","Ftl1","Ftl1","Ftl1"
"ENSMUSG00000009281",769,667.64,1166.054,16774,"Rarres2","Rarres2","Rarres2","Rarres2"
"ENSMUSG00000060636",494,364.26,1159.862,9103.22,"Rpl35a","Rpl35a","Rpl35a","Rpl35a"
"ENSMUSG00000062328",775,659.02,1155.846,16412.57,"Rpl17","Rpl17","Rpl17","Rpl17"
"ENSMUSG00000035530",872,739.09,1152.525,18353.63,"Eif1","Eif1","Eif1","Eif1"
"ENSMUSG00000055679",1414,1280.76,1146.585,31641,"Ctsr","Ctsr","Ctsr","Ctsr"
"ENSMUSG00000019505",1479,1412,1139.511,34668.09,"Ubb","Ubb","Ubb","Ubb"
"ENSMUSG00000047215",739,635.89,1125.097,15415.09,"Rpl9","Rpl9","Rpl9","Rpl9"
"ENSMUSG00000018593",2157,2121.59,1104.025,50468,"Sparc","Sparc","Sparc","Sparc"
"ENSMUSG00000101249",492,323.57,1089.533,7596,"Gm29216","Gm29216","Gm29216","Gm29216"
"ENSMUSG00000047675",755,630.42,1081.777,14694.25,"Rps8","Rps8","Rps8","Rps8"
"ENSMUSG00000064345",1038,521.57,1081.769,12157,"mt-Nd2","mt-Nd2","mt-Nd2","mt-Nd2"
"ENSMUSG00000005054",603,476.37,1077.737,11062,"Cstb","Cstb","Cstb","Cstb"
"ENSMUSG00000058546",560,435.52,1076.487,10101.72,"Rpl23a","Rpl23a","Rpl23a","Rpl23a"
"ENSMUSG00000025351",1090,933.43,1068.813,21496.2,"Cd63","Cd63","Cd63","Cd63"
"ENSMUSG00000071866",628,490.79,1065.82,11270.94,"Ppia","Ppia","Ppia","Ppia"
"ENSMUSG00000108558",1943,1852.07,1061.753,42370,"Psg-ps1","Psg-ps1","Psg-ps1","Psg-ps1"
"ENSMUSG00000045128",533,404.84,1060.982,9254.84,"Rpl18a","Rpl18a","Rpl18a","Rpl18a"
"ENSMUSG00000100755",425,295.95,1059.923,6758.87,"Rps23-ps1","Rps23-ps1","Rps23-ps1","Rps23-ps1"
"ENSMUSG00000038883",1316,1105.07,1055.336,25128,"Prl3a1","Prl3a1","Prl3a1","Prl3a1"
"ENSMUSG00000048583",2375,2237.62,1050.38,50641.89,"Igf2","Igf2","Igf2","Igf2"
"ENSMUSG00000049382",1958,1890.36,1032.901,42070.62,"Krt8","Krt8","Krt8","Krt8"
"ENSMUSG00000061787",490,363.6,1030.262,8071.43,"Rps17","Rps17","Rps17","Rps17"
"ENSMUSG00000064363",1378,758.8,1003.098,16400.13,"mt-Nd4","mt-Nd4","mt-Nd4","mt-Nd4"
"ENSMUSG00000057722",2296,2097.1,997.608,45077,"Lepr","Lepr","Lepr","Lepr"
"ENSMUSG00000057863",383,233.37,985.068,4953.22,"Rpl36","Rpl36","Rpl36","Rpl36"
"ENSMUSG00000058443",768,660.51,978.768,13929.48,"Rpl10-ps3","Rpl10-ps3","Rpl10-ps3","Rpl10-ps3"
"ENSMUSG00000030342",1226,953.74,975.438,20045,"Cd9","Cd9","Cd9","Cd9"
"ENSMUSG00000052146",558,412.25,961.024,8536.27,"Rps10","Rps10","Rps10","Rps10"
"ENSMUSG00000090841",693,586.56,951.911,12030.46,"Myl6","Myl6","Myl6","Myl6"
"ENSMUSG00000068220",797,697.58,947.017,14234,"Lgals1","Lgals1","Lgals1","Lgals1"
"ENSMUSG00000008683",493,369.93,946.65,7545.46,"Rps15a","Rps15a","Rps15a","Rps15a"
"ENSMUSG00000032383",908,804.36,934.095,16188.85,"Ppib","Ppib","Ppib","Ppib"
"ENSMUSG00000030744",1143,1053.48,926.526,21030.99,"Rps3","Rps3","Rps3","Rps3"
"ENSMUSG00000020460",736,614.81,919.382,12179.05,"Rps27a","Rps27a","Rps27a","Rps27a"
"ENSMUSG00000050621",374,239.95,917.827,4745.17,"Rps27rt","Rps27rt","Rps27rt","Rps27rt"
"ENSMUSG00000002308",990,895.01,889.527,17154,"Cd320","Cd320","Cd320","Cd320"
"ENSMUSG00000069682",635,512.35,886.596,9787.49,"Gm10275","Gm10275","Gm10275","Gm10275"
"ENSMUSG00000072940",210,77.86,883.485,1482.07,"Gm10443","Gm10443","Gm10443","Gm10443"
"ENSMUSG00000027907",511,389.91,882.981,7418.17,"S100a11","S100a11","S100a11","S100a11"
"ENSMUSG00000021939",2573,2584.24,877.8,48877,"Ctsb","Ctsb","Ctsb","Ctsb"
"ENSMUSG00000027248",2526,2294.58,874.207,43221,"Pdia3","Pdia3","Pdia3","Pdia3"
"ENSMUSG00000023043",1437,1357.32,854.147,24980,"Krt18","Krt18","Krt18","Krt18"
"ENSMUSG00000079092",816,600.95,848.472,10986.42,"Prl2c2","Prl2c2","Prl2c2","Prl2c2"
"ENSMUSG00000006333",743,630.22,843.861,11458.74,"Rps9","Rps9","Rps9","Rps9"
"ENSMUSG00000028081",977,877.38,828.705,15666.3,"Rps3a1","Rps3a1","Rps3a1","Rps3a1"
"ENSMUSG00000003429",659,546.92,827.273,9748.8,"Rps11","Rps11","Rps11","Rps11"
"ENSMUSG00000062997",530,382.57,817.393,6737.77,"Rpl35","Rpl35","Rpl35","Rpl35"
"ENSMUSG00000057322",369,233.18,797.346,4006.01,"Rpl38","Rpl38","Rpl38","Rpl38"
"ENSMUSG00000012848",777,668.89,796.477,11479,"Rps5","Rps5","Rps5","Rps5"
"ENSMUSG00000024661",925,791.19,796.314,13574.99,"Fth1","Fth1","Fth1","Fth1"
"ENSMUSG00000051159",905,773.62,789.742,13164,"Cited1","Cited1","Cited1","Cited1"
"ENSMUSG00000078193",445,316.35,789.373,5380.55,"Gm2000","Gm2000","Gm2000","Gm2000"
"ENSMUSG00000046330",559,391.77,772.231,6518.58,"Rpl37a","Rpl37a","Rpl37a","Rpl37a"
"ENSMUSG00000037664",1548,1178.22,770.526,19561,"Cdkn1c","Cdkn1c","Cdkn1c","Cdkn1c"
"ENSMUSG00000072944",1371,1071.39,766.307,17690,"Nup62cl","Nup62cl","Nup62cl","Nup62cl"
"ENSMUSG00000025508",576,439.9,747.534,7085.41,"Rplp2","Rplp2","Rplp2","Rplp2"
"ENSMUSG00000020571",2095,1961.77,735.311,31081,"Pdia6","Pdia6","Pdia6","Pdia6"
"ENSMUSG00000031818",735,614.68,733.755,9718,"Cox4i1","Cox4i1","Cox4i1","Cox4i1"
"ENSMUSG00000002014",789,672.31,731.749,10600,"Ssr4","Ssr4","Ssr4","Ssr4"
"ENSMUSG00000043716",1078,981.28,726.872,15368.37,"Rpl7","Rpl7","Rpl7","Rpl7"
"ENSMUSG00000065947",297,146,712.213,2240.47,"mt-Nd4l","mt-Nd4l","mt-Nd4l","mt-Nd4l"
"ENSMUSG00000075706",817,690.61,710.243,10568.61,"Gpx4","Gpx4","Gpx4","Gpx4"
"ENSMUSG00000024048",914,770.35,709.105,11770.01,"Myl12a","Myl12a","Myl12a","Myl12a"
"ENSMUSG00000064337",955,511.66,707.247,7797,"mt-Rnr1","mt-Rnr1","mt-Rnr1","mt-Rnr1"
"ENSMUSG00000027082",1557,1242.17,703.361,18825,"Tfpi","Tfpi","Tfpi","Tfpi"
"ENSMUSG00000022010",1726,1608.06,701.741,24314,"Tsc22d1","Tsc22d1","Tsc22d1","Tsc22d1"
"ENSMUSG00000015656",1953,1937.81,694.97,29017.17,"Hspa8","Hspa8","Hspa8","Hspa8"
"ENSMUSG00000061477",904,770.9,690.726,11473.07,"Rps7","Rps7","Rps7","Rps7"
"ENSMUSG00000029580",1830,1597.24,688.713,23701.97,"Actb","Actb","Actb","Actb"
"ENSMUSG00000021477",1698,1423.31,678.898,20820,"Ctsl","Ctsl","Ctsl","Ctsl"
"ENSMUSG00000090862",594,467.84,678.316,6837.65,"Rps13","Rps13","Rps13","Rps13"
"ENSMUSG00000003970",856,735.61,676.666,10725,"Rpl8","Rpl8","Rpl8","Rpl8"
"ENSMUSG00000044258",753,635.1,674.716,9232.9,"Ctla2a","Ctla2a","Ctla2a","Ctla2a"
"ENSMUSG00000067288",380,241.56,671.698,3495.99,"Rps28","Rps28","Rps28","Rps28"
"ENSMUSG00000041959",685,567.8,664.861,8134,"S100a10","S100a10","S100a10","S100a10"
"ENSMUSG00000050299",402,257.93,661.068,3673.82,"Gm9843","Gm9843","Gm9843","Gm9843"
"ENSMUSG00000036751",501,374.93,649.878,5250,"Cox6b1","Cox6b1","Cox6b1","Cox6b1"
"ENSMUSG00000000805",1234,1168.54,646.162,16269,"Car4","Car4","Car4","Car4"
"ENSMUSG00000098274",664,555.99,641.269,7682.23,"Rpl24","Rpl24","Rpl24","Rpl24"
"ENSMUSG00000095597",585,466.37,634.848,6379.38,"Rps7-ps3","Rps7-ps3","Rps7-ps3","Rps7-ps3"
"ENSMUSG00000082035",621,507.57,632.034,6912.16,"Rpl17-ps8","Rpl17-ps8","Rpl17-ps8","Rpl17-ps8"
"ENSMUSG00000025289",991,864.77,630.879,11755,"Prdx4","Prdx4","Prdx4","Prdx4"
"ENSMUSG00000020048",2645,2452.99,621.814,32865,"Hsp90b1","Hsp90b1","Hsp90b1","Hsp90b1"
"ENSMUSG00000001025",533,407.59,620.916,5453,"S100a6","S100a6","S100a6","S100a6"
"ENSMUSG00000031422",1596,1407.18,618.8,18761.9,"Morf4l2","Morf4l2","Morf4l2","Morf4l2"
"ENSMUSG00000064339",1582,859.13,618.708,11453,"mt-Rnr2","mt-Rnr2","mt-Rnr2","mt-Rnr2"
"ENSMUSG00000032083",1024,913.76,618.028,12168,"Apoa1","Apoa1","Apoa1","Apoa1"
"ENSMUSG00000059291",748,632.71,616.465,8404.12,"Rpl11","Rpl11","Rpl11","Rpl11"
"ENSMUSG00000062933",490,368.37,616.218,4890.96,"Gm10123","Gm10123","Gm10123","Gm10123"
"ENSMUSG00000009013",672,511.45,615.071,6778,"Dynll1","Dynll1","Dynll1","Dynll1"
"ENSMUSG00000050335",1128,1000.31,614.204,13238,"Lgals3","Lgals3","Lgals3","Lgals3"
"ENSMUSG00000073702",621,496,609.763,6516.59,"Rpl31","Rpl31","Rpl31","Rpl31"
"ENSMUSG00000050777",1311,1179.5,609.03,15478,"Tmem37","Tmem37","Tmem37","Tmem37"
"ENSMUSG00000022982",663,540.39,607.683,7075.62,"Sod1","Sod1","Sod1","Sod1"
"ENSMUSG00000036438",1135,867.89,603.907,11293.08,"Calm2","Calm2","Calm2","Calm2"
"ENSMUSG00000055093",471,342.83,599.516,4428.47,"Rps27a-ps3","Rps27a-ps3","Rps27a-ps3","Rps27a-ps3"
"ENSMUSG00000062825",1875,1771.39,597.18,22792.72,"Actg1","Actg1","Actg1","Actg1"
"ENSMUSG00000032518",1063,972.24,596.731,12500.51,"Rpsa","Rpsa","Rpsa","Rpsa"
"ENSMUSG00000064354",684,433.98,589.044,5507.96,"mt-Co2","mt-Co2","mt-Co2","mt-Co2"
"ENSMUSG00000032231",1437,1398.2,588.454,17728,"Anxa2","Anxa2","Anxa2","Anxa2"
"ENSMUSG00000001175",1569,1367.87,582.096,17156,"Calm1","Calm1","Calm1","Calm1"
"ENSMUSG00000026238",1209,823.15,570.302,10114.89,"Ptma","Ptma","Ptma","Ptma"
"ENSMUSG00000004542",1566,1519.72,567.309,18576.4,"Psg19","Psg19","Psg19","Psg19"
"ENSMUSG00000044894",512,376.97,563.88,4580,"Uqcrq","Uqcrq","Uqcrq","Uqcrq"
"ENSMUSG00000115783",168,46.24,562.072,560,"Bc1","Bc1","Bc1","Bc1"
"ENSMUSG00000062456",714,607.19,559.299,7317.15,"Rpl9-ps6","Rpl9-ps6","Rpl9-ps6","Rpl9-ps6"
"ENSMUSG00000039221",536,309.19,552.725,3682.26,"Rpl22l1","Rpl22l1","Rpl22l1","Rpl22l1"
"ENSMUSG00000028965",1867,1682.69,551.162,19983,"Tnfrsf9","Tnfrsf9","Tnfrsf9","Tnfrsf9"
"ENSMUSG00000070343",537,414.43,548.042,4893.72,"Gm10288","Gm10288","Gm10288","Gm10288"
"ENSMUSG00000107176",423,283.06,547.212,3337.37,"Gm9794","Gm9794","Gm9794","Gm9794"
"ENSMUSG00000090137",526,389.13,546.753,4584.25,"Uba52","Uba52","Uba52","Uba52"
"ENSMUSG00000003161",867,675.47,544.321,7922,"Sri","Sri","Sri","Sri"
"ENSMUSG00000063856",845,725.72,542.252,8479,"Gpx1","Gpx1","Gpx1","Gpx1"
"ENSMUSG00000027447",860,738.22,542.119,8623,"Cst3","Cst3","Cst3","Cst3"
"ENSMUSG00000071528",368,214.76,541.551,2505.98,"Atp5md","Atp5md","Atp5md","Atp5md"
"ENSMUSG00000046056",785,674.96,541.099,7869.17,"Sbsn","Sbsn","Sbsn","Sbsn"
"ENSMUSG00000117098",653,540.35,534.415,6221.96,"Gm49909","Gm49909","Gm49909","Gm49909"
"ENSMUSG00000029632",612,402.23,532.496,4615,"Ndufa4","Ndufa4","Ndufa4","Ndufa4"
"ENSMUSG00000081406",750,649.58,527.407,7381.73,"Rps6-ps4","Rps6-ps4","Rps6-ps4","Rps6-ps4"
"ENSMUSG00000004207",2625,2649.79,525.505,30003,"Psap","Psap","Psap","Psap"
"ENSMUSG00000028645",2634,2541.1,523.436,28659,"Slc2a1","Slc2a1","Slc2a1","Slc2a1"
"ENSMUSG00000106037",346,210.82,519.523,2359.92,"Gm4332","Gm4332","Gm4332","Gm4332"
"ENSMUSG00000029614",1170,1095.59,517.245,12210.18,"Rpl6","Rpl6","Rpl6","Rpl6"
"ENSMUSG00000032399",1515,1432.13,516.845,15948.5,"Rpl4","Rpl4","Rpl4","Rpl4"
"ENSMUSG00000041697",574,415.47,516.642,4624.99,"Cox6a1","Cox6a1","Cox6a1","Cox6a1"
"ENSMUSG00000064373",2047,1636.57,516.273,18205,"Selenop","Selenop","Selenop","Selenop"
"ENSMUSG00000003038",1186,950.23,514.536,10534.63,"Hmgn2","Hmgn2","Hmgn2","Hmgn2"
"ENSMUSG00000025151",2711,2707.56,513.316,29946,"Maged1","Maged1","Maged1","Maged1"
"ENSMUSG00000071415",879,753.21,512.389,8315.63,"Rpl23","Rpl23","Rpl23","Rpl23"
"ENSMUSG00000059070",668,532.73,504.87,5795.13,"Rpl18","Rpl18","Rpl18","Rpl18"
"ENSMUSG00000078793",3610,3484.91,503.454,37803.19,"Gm5155","Gm5155","Gm5155","Gm5155"
"ENSMUSG00000037072",1187,916.07,502.376,9916,"Selenof","Selenof","Selenof","Selenof"
"ENSMUSG00000070436",2161,2034.84,497.038,21792,"Serpinh1","Serpinh1","Serpinh1","Serpinh1"
"ENSMUSG00000000740",780,627.82,490.563,6635.95,"Rpl13","Rpl13","Rpl13","Rpl13"
"ENSMUSG00000031320",954,863.35,486.696,9053.63,"Rps4x","Rps4x","Rps4x","Rps4x"
"ENSMUSG00000020267",636,494.41,485.883,5176,"Hint1","Hint1","Hint1","Hint1"
"ENSMUSG00000063882",549,434.8,484.826,4542,"Uqcrh","Uqcrh","Uqcrh","Uqcrh"
"ENSMUSG00000061315",887,754.61,482.773,7849.51,"Naca","Naca","Naca","Naca"
"ENSMUSG00000074884",946,828.01,474.846,8471.59,"Serf2","Serf2","Serf2","Serf2"
"ENSMUSG00000025393",1460,1352.57,470.986,13726,"Atp5b","Atp5b","Atp5b","Atp5b"
"ENSMUSG00000012405",952,793.95,466.323,7977.3,"Rpl15","Rpl15","Rpl15","Rpl15"
"ENSMUSG00000081344",171,48.18,464.199,481.89,"Gm14303","Gm14303","Gm14303","Gm14303"
"ENSMUSG00000058603",414,281.6,462.96,2809.05,"Rpl28-ps1","Rpl28-ps1","Rpl28-ps1","Rpl28-ps1"
"ENSMUSG00000028776",1892,1749.29,462.736,17441,"Tinagl1","Tinagl1","Tinagl1","Tinagl1"
"ENSMUSG00000092035",6596,6128.58,461.281,60912,"Peg10","Peg10","Peg10","Peg10"
"ENSMUSG00000081604",411,279.28,459.338,2764.09,"Gm11518","Gm11518","Gm11518","Gm11518"
"ENSMUSG00000070798",3109,2976.14,458.127,29377.63,"Psg25","Psg25","Psg25","Psg25"
"ENSMUSG00000042712",999,653.31,456.506,6426,"Tceal9","Tceal9","Tceal9","Tceal9"
"ENSMUSG00000058600",540,407.92,456.436,4011.73,"Rpl30","Rpl30","Rpl30","Rpl30"
"ENSMUSG00000002015",1219,1149.82,453.208,11228,"Bcap31","Bcap31","Bcap31","Bcap31"
"ENSMUSG00000021660",883,685.93,451.466,6672.4,"Btf3","Btf3","Btf3","Btf3"
"ENSMUSG00000028234",962,750.03,450.732,7284.08,"Rps20","Rps20","Rps20","Rps20"
"ENSMUSG00000081094",591,471.53,450.319,4575.18,"Rpl19-ps11","Rpl19-ps11","Rpl19-ps11","Rpl19-ps11"
"ENSMUSG00000026421",1823,1772.51,449.498,17167,"Csrp1","Csrp1","Csrp1","Csrp1"
"ENSMUSG00000022205",708,444.91,447.93,4294,"Sub1","Sub1","Sub1","Sub1"
"ENSMUSG00000028495",880,784.6,447.691,7568.39,"Rps6","Rps6","Rps6","Rps6"
"ENSMUSG00000020911",1369,1274.6,445.908,12246,"Krt19","Krt19","Krt19","Krt19"
"ENSMUSG00000025204",632,509.43,440.853,4839,"Ndufb8","Ndufb8","Ndufb8","Ndufb8"
"ENSMUSG00000032575",800,683.85,439.713,6479,"Manf","Manf","Manf","Manf"
"ENSMUSG00000081485",192,64.94,437.502,612.19,"Gm12338","Gm12338","Gm12338","Gm12338"
"ENSMUSG00000046352",2406,2175.01,435.879,20427,"Gjb2","Gjb2","Gjb2","Gjb2"
"ENSMUSG00000091537",689,490.65,435.341,4602.37,"Tma7","Tma7","Tma7","Tma7"
