"ï..Name","Length","EffectiveLength","TPM","NumReads","mgi_symbol","external_gene_name"
"ENSMUSG00000068220",784,678.8,872.99,16972,"Lgals1","Lgals1"
"ENSMUSG00000079641",609,463.35,868.45,11524.72,"Rpl39","Rpl39"
"ENSMUSG00000064360",348,146,858.452,3589.61,"mt-Nd3","mt-Nd3"
"ENSMUSG00000059291",753,635.46,857.057,15598.29,"Rpl11","Rpl11"
"ENSMUSG00000025508",560,418.36,854.485,10238.4,"Rplp2","Rplp2"
"ENSMUSG00000081049",402,275.82,853.657,6743.52,"Rps24-ps3","Rps24-ps3"
"ENSMUSG00000021348",1066,756.75,845.269,18320.02,"Prl7d1","Prl7d1"
"ENSMUSG00000064357",681,413.22,843.146,9978.42,"mt-Atp6","mt-Atp6"
"ENSMUSG00000073616",441,312.51,839.843,7517,"Cops9","Cops9"
"ENSMUSG00000024661",922,779.82,837.588,18706.99,"Fth1","Fth1"
"ENSMUSG00000025130",2361,2273.4,837.278,54516,"P4hb","P4hb"
"ENSMUSG00000085114",547,434.96,832.278,10368,"1600025M17Rik","1600025M17Rik"
"ENSMUSG00000037072",1257,1004.69,828.505,23840,"Selenof","Selenof"
"ENSMUSG00000050708",961,817.47,822.056,19246.51,"Ftl1","Ftl1"
"ENSMUSG00000003505",1535,1506.88,817.415,35277.64,"Psg18","Psg18"
"ENSMUSG00000020267",636,496.29,807.306,11475,"Hint1","Hint1"
"ENSMUSG00000029632",609,414.29,798.623,9476,"Ndufa4","Ndufa4"
"ENSMUSG00000047661",2475,2304.16,796.851,52585.78,"1600012P17Rik","1600012P17Rik"
"ENSMUSG00000020857",841,691.93,790.587,15667.22,"Nme2","Nme2"
"ENSMUSG00000044894",506,368.05,786.917,8295,"Uqcrq","Uqcrq"
"ENSMUSG00000046056",745,621.78,782.16,13928.61,"Sbsn","Sbsn"
"ENSMUSG00000070343",537,414,776.227,9203.89,"Gm10288","Gm10288"
"ENSMUSG00000043716",1093,1009.34,775.636,22421.87,"Rpl7","Rpl7"
"ENSMUSG00000036751",492,365.81,766.646,8032,"Cox6b1","Cox6b1"
"ENSMUSG00000091537",672,489.01,764.354,10705.05,"Tma7","Tma7"
"ENSMUSG00000032383",907,808.11,756.938,17518.94,"Ppib","Ppib"
"ENSMUSG00000093904",957,797.42,749.666,17121.19,"Tomm20","Tomm20"
"ENSMUSG00000081485",192,66.8,749.352,1433.68,"Gm12338","Gm12338"
"ENSMUSG00000069972",453,327.81,739.746,6945.15,"Rps13-ps2","Rps13-ps2"
"ENSMUSG00000058546",560,439.4,735.42,9254.9,"Rpl23a","Rpl23a"
"ENSMUSG00000031622",1047,940.73,731.102,19698,"Sin3b","Sin3b"
"ENSMUSG00000064337",955,563.93,728.243,11762,"mt-Rnr1","mt-Rnr1"
"ENSMUSG00000062933",490,372.25,726.736,7747.99,"Gm10123","Gm10123"
"ENSMUSG00000021347",925,670.22,725.903,13934,"Prl7b1","Prl7b1"
"ENSMUSG00000059534",446,312.69,720.008,6448,"Uqcr10","Uqcr10"
"ENSMUSG00000079479",420,282.1,704.375,5690.96,"Gm9112","Gm9112"
"ENSMUSG00000081604",411,280.12,701.13,5624.96,"Gm11518","Gm11518"
"ENSMUSG00000049751",538,418.87,691.35,8293.74,"Rpl36al","Rpl36al"
"ENSMUSG00000030049",788,630.55,685.741,12384,"Gkn2","Gkn2"
"ENSMUSG00000049517",936,669.45,682.936,13094.22,"Rps23","Rps23"
"ENSMUSG00000064341",957,676.45,680.922,13192,"mt-Nd1","mt-Nd1"
"ENSMUSG00000073640",411,280.12,677.432,5434.84,"Rpl27-ps3","Rpl27-ps3"
"ENSMUSG00000081094",591,467.8,667.449,8942.39,"Rpl19-ps11","Rpl19-ps11"
"ENSMUSG00000042712",995,672.16,665.056,12803,"Tceal9","Tceal9"
"ENSMUSG00000041881",524,384.81,657.915,7251,"Ndufa7","Ndufa7"
"ENSMUSG00000078713",642,519.04,655.746,9748,"Tomm5","Tomm5"
"ENSMUSG00000106037",346,215.56,655.229,4045.16,"Gm4332","Gm4332"
"ENSMUSG00000018339",1594,1475.3,638.294,26970,"Gpx3","Gpx3"
"ENSMUSG00000081406",750,653.41,634.185,11868.16,"Rps6-ps4","Rps6-ps4"
"ENSMUSG00000061315",886,771.45,628.094,13877.58,"Naca","Naca"
"ENSMUSG00000032518",1086,983.69,624.856,17604.27,"Rpsa","Rpsa"
"ENSMUSG00000083380",390,255.31,624.702,4567.9,"Ndufb4c","Ndufb4c"
"ENSMUSG00000084416",654,536.59,623.823,9587.04,"Rpl10a-ps1","Rpl10a-ps1"
"ENSMUSG00000067288",380,241.06,619.284,4275.49,"Rps28","Rps28"
"ENSMUSG00000048583",1658,1530.4,615.822,26992.27,"Igf2","Igf2"
"ENSMUSG00000045128",540,406.31,607.659,7071.32,"Rpl18a","Rpl18a"
"ENSMUSG00000028234",905,718.62,606.601,12484.84,"Rps20","Rps20"
"ENSMUSG00000028773",823,714.91,606.261,12413.41,"Fabp3","Fabp3"
"ENSMUSG00000064373",2053,1694.85,606.043,29418,"Selenop","Selenop"
"ENSMUSG00000074884",833,706.05,602.802,12189.5,"Serf2","Serf2"
"ENSMUSG00000038717",546,403.85,592.107,6848.5,"Atp5l","Atp5l"
"ENSMUSG00000064345",1038,582.07,585.279,9757,"mt-Nd2","mt-Nd2"
"ENSMUSG00000026864",2307,2227.09,580.234,37010,"Hspa5","Hspa5"
"ENSMUSG00000025204",639,509.78,578.611,8447.93,"Ndufb8","Ndufb8"
"ENSMUSG00000044080",669,556.29,577.635,9203,"S100a1","S100a1"
"ENSMUSG00000030342",1226,953.6,571.484,15608,"Cd9","Cd9"
"ENSMUSG00000054428",537,405.75,570.871,6634,"Atpif1","Atpif1"
"ENSMUSG00000018593",2159,2117,570.263,34576,"Sparc","Sparc"
"ENSMUSG00000073676",774,566.72,566.781,9199.48,"Hspe1","Hspe1"
"ENSMUSG00000027907",511,394.62,566.291,6400.21,"S100a11","S100a11"
"ENSMUSG00000023175",1238,1129.7,561.951,18182,"Bsg","Bsg"
"ENSMUSG00000099250",300,150.16,558.518,2401.96,NA,NA
"ENSMUSG00000042682",774,598.19,551.585,9450,"Selenok","Selenok"
"ENSMUSG00000079476",420,283.52,549.144,4459.04,"1700011M02Rik","1700011M02Rik"
"ENSMUSG00000019505",1493,1407.41,547.932,22086.44,"Ubb","Ubb"
"ENSMUSG00000000740",779,606.1,546.051,9478.88,"Rpl13","Rpl13"
"ENSMUSG00000060743",883,656.58,543.931,10228.43,"H3f3a","H3f3a"
"ENSMUSG00000021477",1891,1620.48,539.505,25039,"Ctsl","Ctsl"
"ENSMUSG00000022354",698,572.35,538.112,8820.97,"Ndufb9","Ndufb9"
"ENSMUSG00000029614",1059,977.16,537.786,15050.53,"Rpl6","Rpl6"
"ENSMUSG00000006360",457,318.85,536.356,4898,"Crip1","Crip1"
"ENSMUSG00000070493",921,725.72,529.497,11005.53,"Chchd2","Chchd2"
"ENSMUSG00000003970",856,717.66,528.848,10870,"Rpl8","Rpl8"
"ENSMUSG00000029664",1530,1048.65,525.311,15777,"Tfpi2","Tfpi2"
"ENSMUSG00000064370",1144,977.18,519.064,14527,"mt-Cytb","mt-Cytb"
"ENSMUSG00000028691",1217,1079.75,517.721,16010.2,"Prdx1","Prdx1"
"ENSMUSG00000062515",933,576.85,516.61,8535,"Fabp4","Fabp4"
"ENSMUSG00000003161",767,616.65,516.446,9121,"Sri","Sri"
"ENSMUSG00000021290",369,237.12,511.831,3476,"Atp5mpl","Atp5mpl"
"ENSMUSG00000028495",879,786.32,511.717,11524.1,"Rps6","Rps6"
"ENSMUSG00000003814",1835,1809.65,506.607,26257,"Calr","Calr"
"ENSMUSG00000101939",345,145,506.011,2101.39,"Gm28438","Gm28438"
"ENSMUSG00000096942",438,301.17,504.823,4354.48,"Rps19-ps6","Rps19-ps6"
"ENSMUSG00000014313",522,390.99,500.414,5603.61,"Cox6c","Cox6c"
"ENSMUSG00000074800",276,140.6,498.839,2008.8,"Gm4149","Gm4149"
"ENSMUSG00000017778",519,343.4,498.01,4897.97,"Cox7c","Cox7c"
"ENSMUSG00000019929",1752,1454.25,494.811,20609,"Dcn","Dcn"
"ENSMUSG00000086841",462,322.58,494.008,4564,"2410006H16Rik","2410006H16Rik"
"ENSMUSG00000063316",620,486.98,490.387,6839.55,"Rpl27","Rpl27"
"ENSMUSG00000087412",654,536.89,488.684,7514.31,"Gm15501","Gm15501"
"ENSMUSG00000018585",540,392.6,486.823,5474,"Atox1","Atox1"
"ENSMUSG00000022010",1729,1626.97,482.157,22467,"Tsc22d1","Tsc22d1"
"ENSMUSG00000012405",914,769.27,481.762,10614.3,"Rpl15","Rpl15"
"ENSMUSG00000071415",849,732.8,475.48,9979.29,"Rpl23","Rpl23"
"ENSMUSG00000029019",781,613.6,473.721,8325,"Nppb","Nppb"
"ENSMUSG00000094800",354,181.48,469.278,2439.11,NA,NA
"ENSMUSG00000009013",663,502.09,468.424,6736,"Dynll1","Dynll1"
"ENSMUSG00000022205",709,475.82,467.431,6370,"Sub1","Sub1"
"ENSMUSG00000106918",496,369.82,465.437,4929.77,"Mrpl33","Mrpl33"
"ENSMUSG00000050335",1114,959.46,464.495,12764,"Lgals3","Lgals3"
"ENSMUSG00000042043",557,384.44,464.082,5109.73,"Tbca","Tbca"
"ENSMUSG00000031231",802,622.05,462.684,8243,"Cox7b","Cox7b"
"ENSMUSG00000059070",670,520.35,461.417,6876.53,"Rpl18","Rpl18"
"ENSMUSG00000021660",885,704.26,461.251,9303.59,"Btf3","Btf3"
"ENSMUSG00000008682",718,613.13,459.217,8063.92,"Rpl10","Rpl10"
"ENSMUSG00000003038",1168,965.55,458.415,12676.91,"Hmgn2","Hmgn2"
"ENSMUSG00000046364",718,604.05,455.542,7881,"Rpl27a","Rpl27a"
"ENSMUSG00000081344",171,49.86,449.628,642.09,"Gm14303","Gm14303"
"ENSMUSG00000020163",446,289.89,447.938,3719,"Uqcr11","Uqcr11"
"ENSMUSG00000054932",2016,1983.03,446.009,25331,"Afp","Afp"
"ENSMUSG00000027447",860,721.88,445.469,9210,"Cst3","Cst3"
"ENSMUSG00000053317",561,368.34,444.132,4685.34,"Sec61b","Sec61b"
"ENSMUSG00000024208",500,356.79,442.428,4521,"Uqcc2","Uqcc2"
"ENSMUSG00000032575",804,703.92,440.515,8881,"Manf","Manf"
"ENSMUSG00000036438",1146,921.59,437.327,11543.17,"Calm2","Calm2"
"ENSMUSG00000061167",615,495.12,436.631,6191.6,"Rpl15-ps3","Rpl15-ps3"
"ENSMUSG00000050856",372,236.59,433.284,2936,"Atp5k","Atp5k"
"ENSMUSG00000004542",1000,917.63,431.09,11329.56,"Psg19","Psg19"
"ENSMUSG00000044627",702,593.62,430.788,7324,"Swi5","Swi5"
"ENSMUSG00000067719",309,175.65,430.587,2166.2,"Gm10221","Gm10221"
"ENSMUSG00000022890",701,502.46,428.956,6173,"Atp5j","Atp5j"
"ENSMUSG00000050777",1311,1154.59,428.511,14170,"Tmem37","Tmem37"
"ENSMUSG00000037805",790,656.44,426.772,8023.62,"Rpl10a","Rpl10a"
"ENSMUSG00000105388",321,190.25,425.591,2318.99,"Rpl36a-ps2","Rpl36a-ps2"
"ENSMUSG00000029390",2012,1631.32,425.339,19872.55,"Tmed2","Tmed2"
"ENSMUSG00000025283",1137,998.19,424.597,12138.63,"Sat1","Sat1"
"ENSMUSG00000046516",462,279.79,424.418,3401,"Cox17","Cox17"
"ENSMUSG00000058600",541,416.84,423.837,5059.9,"Rpl30","Rpl30"
"ENSMUSG00000033379",926,810.92,420.453,9765,"Atp6v0b","Atp6v0b"
"ENSMUSG00000006589",729,586.16,419.766,7047,"Aprt","Aprt"
"ENSMUSG00000110841",728,604.64,417.299,7226.42,"Gpx4-ps2","Gpx4-ps2"
"ENSMUSG00000060143",383,244.71,416.505,2919.16,"Gm10076","Gm10076"
"ENSMUSG00000055839",530,381.66,415.494,4541.69,"Elob","Elob"
"ENSMUSG00000073888",431,283.63,415.304,3373.64,"Ccl27a","Ccl27a"
"ENSMUSG00000072674",514,366.57,414.945,4356.42,NA,NA
"ENSMUSG00000107176",423,294.45,413.921,3490.71,"Gm9794","Gm9794"
"ENSMUSG00000021917",704,539.75,413.493,6392,"Spcs1","Spcs1"
"ENSMUSG00000060962",671,566.37,409.162,6637,"Dmkn","Dmkn"
"ENSMUSG00000098234",463,252.64,408.804,2958,"Snhg6","Snhg6"
"ENSMUSG00000058838",467,347.32,408.653,4065.02,"Rps27a-ps2","Rps27a-ps2"
"ENSMUSG00000043770",297,154.98,408.039,1811.21,"Gm12481","Gm12481"
"ENSMUSG00000020390",1102,809.15,407.821,9451,"Ube2b","Ube2b"
"ENSMUSG00000072692",345,211.5,405.902,2458.69,"Rpl37rt","Rpl37rt"
"ENSMUSG00000055679",1414,1322.18,402.585,15245,"Ctsr","Ctsr"
"ENSMUSG00000072944",1608,1338.18,401.502,15388,"Nup62cl","Nup62cl"
"ENSMUSG00000027248",2738,2590.12,399.113,29607,"Pdia3","Pdia3"
"ENSMUSG00000113902",712,503.14,398.467,5742,"Ndufb1","Ndufb1"
"ENSMUSG00000018102",1156,671,398.237,7653.18,"H2bc4","H2bc4"
"ENSMUSG00000090137",536,387.07,396.465,4395.11,"Uba52","Uba52"
"ENSMUSG00000032330",606,467.88,395.444,5299,"Cox7a2","Cox7a2"
"ENSMUSG00000025289",991,873.31,395.051,9881,"Prdx4","Prdx4"
"ENSMUSG00000031422",1819,1680.96,394.974,19015.39,"Morf4l2","Morf4l2"
"ENSMUSG00000066315",636,465.42,394.718,5261.51,"Gm12918","Gm12918"
"ENSMUSG00000024048",910,775.63,393.918,8750.58,"Myl12a","Myl12a"
"ENSMUSG00000080921",213,85.02,390.05,949.78,"Rpl38-ps2","Rpl38-ps2"
"ENSMUSG00000057278",510,377.68,389.664,4214.94,"Snrpg","Snrpg"
"ENSMUSG00000027643",516,381.54,388.012,4240,"Ghrh","Ghrh"
"ENSMUSG00000057722",1257,1071.17,386.424,11855,"Lepr","Lepr"
"ENSMUSG00000064363",1378,838.73,385.749,9266.28,"mt-Nd4","mt-Nd4"
"ENSMUSG00000027082",1425,1153.63,384.589,12707,"Tfpi","Tfpi"
"ENSMUSG00000006488",948,728.28,384.405,8018,"Prl7a1","Prl7a1"
"ENSMUSG00000021939",2720,2754.62,383.442,30251,"Ctsb","Ctsb"
"ENSMUSG00000041697",575,403.06,382.892,4419.99,"Cox6a1","Cox6a1"
"ENSMUSG00000027566",915,810.46,381.399,8853,"Psma7","Psma7"
"ENSMUSG00000034566",623,516.83,378.531,5603.13,"Atp5h","Atp5h"
"ENSMUSG00000008789",3273,3280.72,378.487,35563.05,"Ceacam5","Ceacam5"
"ENSMUSG00000022884",1648,1381.28,373.043,14757.78,"Eif4a2","Eif4a2"
"ENSMUSG00000044408",1342,838.69,372.06,8937,"Sptssa","Sptssa"
"ENSMUSG00000028367",1051,804.21,371.079,8547,"Txn1","Txn1"
"ENSMUSG00000050608",612,490.36,368.554,5176,"Micos10","Micos10"
"ENSMUSG00000049124",231,101.12,368.104,1066.06,"Gm8186","Gm8186"
"ENSMUSG00000039016",518,379.95,366.384,3987,"Timm8b","Timm8b"
"ENSMUSG00000068523",604,405.12,366.34,4250.53,"Gng5","Gng5"
"ENSMUSG00000070799",2086,2042.97,364.192,21309.35,"Psg26","Psg26"
"ENSMUSG00000038690",664,551.82,362.495,5729,"Atp5j2","Atp5j2"
"ENSMUSG00000025794",804,688.79,360.948,7120.53,"Rpl14","Rpl14"
"ENSMUSG00000032083",1026,896.33,357.95,9189,"Apoa1","Apoa1"
"ENSMUSG00000019756",866,686.38,357.816,7034,"Prl8a1","Prl8a1"
"ENSMUSG00000028111",1512,1467.9,357.483,15029,"Ctsk","Ctsk"
